Back station logged in as supervisor:,yes
Camera outage noted:,no
"If Yes, How many?:",
Notifications made? (Did you call someone?:,yes
Work order Completed Yes or No:,no
Audio Check: (X),yes
Air Conditioning Check:,54
Server IV-I Retention Time:,32
Server IV-2 Retention Time:,24
Server IV-3 Retention Time:,99
Server IV-4 Retention Time:,37
Server IV-5 Retention Time:,71
Server IV-6 Retention Time:,43
Server IV-7 Retention Time:,58
Server IV-8 Retention Time:,92
Server IV-9 Retention Time:,65
Server IV-IO Retention Time:,50
Server IV-11 Retention Time:,93
Server IV-12 Retention Time:,47
Server NSM-1 Retention Time:,44
Server NSM-2 Retention Time:,88
Server NSM-3 Retention Time:,99
Server NSM-4 Retention Time:,66
Server NSM-5 Retention Time:,59
Server NSM-6 Retention Time:,10
Server NSM-7 Retention Time:,66
